"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://vacationdeals.to/privacy","https://adssettings.google.com/","0","","Google Ads Settings","302","Found","true","_blank","noopener noreferrer","Absolute","//body/main/div/div/section[4]/ul/li[3]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/privacy","https://optout.networkadvertising.org/","0","","NAI Consumer Opt-Out","301","Moved Permanently","true","_blank","noopener noreferrer","Absolute","//body/main/div/div/section[4]/ul/li[3]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacpack-games/bingo","https://twitter.com/intent/tweet?text=Playing+VacPack+Bingo+🎱+during+our+timeshare+pitch.+Join+me%3A&url=https%3A%2F%2Fvacationdeals.to%2Fvacpack-games%2Fbingo","0","","Share on X","301","Moved Permanently","true","_blank","noopener","Absolute","//body/main/div/div[4]/a","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-snowbirds","https://vacationdeals.to/blog/best-vacation-deals-retirees","0","","Retiree vacation guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-empty-nesters","https://vacationdeals.to/blog/best-vacation-deals-anniversary-trips","0","","Anniversary trip ideas","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/getawaydealz-review","https://vacationdeals.to/blog/bookvip-vs-getawaydealz","0","","BookVIP vs GetawayDealz comparison","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[17]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/getawaydealz-review","https://vacationdeals.to/blog/bookvip-vs-getawaydealz","0","","BookVIP vs GetawayDealz","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-theme-park-tickets","https://vacationdeals.to/blog/best-vacation-deals-large-families","0","","Family vacation deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/hilton-grand-vacations-deals-worth-it","https://vacationdeals.to/blog/westgate-vs-hilton-grand-vacations","0","","Compare with Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/how-to-get-most-out-timeshare-presentation","https://vacationdeals.to/blog/first-timers-guide-timeshare-vacation-deals","0","","First-timer's complete guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/what-to-pack-timeshare-vacation-deal","https://vacationdeals.to/blog/first-timers-guide-timeshare-vacation-deals","0","","First-timer's guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/complete-vacation-deals-glossary","https://vacationdeals.to/blog/first-timers-guide-timeshare-vacation-deals","0","","First-timer's complete guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/club-wyndham-vacation-deals","https://vacationdeals.to/blog/marriott-vs-wyndham-vacation-deals","0","","Compare: Marriott vs Wyndham","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/marriott-vacation-club-deals","https://vacationdeals.to/blog/marriott-vs-wyndham-vacation-deals","0","","Compare: Marriott vs Wyndham","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/which-timeshare-brand-best-deals","https://vacationdeals.to/blog/spinnaker-resorts-review","0","","Spinnaker Resorts","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[19]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/which-timeshare-brand-best-deals","https://vacationdeals.to/blog/ultimate-guide-timeshare-vacation-deals-2026","0","","Ultimate Guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[23]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/which-timeshare-brand-best-deals","https://vacationdeals.to/blog/vacation-village-resorts-49-deals","0","","Vacation Village","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[19]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/how-vacation-deal-brokers-work","https://vacationdeals.to/blog/direct-brand-vs-broker-deals","0","","Direct vs Broker Deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-deal-red-flags","https://vacationdeals.to/blog/how-vacation-deal-brokers-work","0","","How Brokers Work","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/monster-reservations-group-review","https://vacationdeals.to/blog/how-vacation-deal-brokers-work","0","","How Vacation Deal Brokers Work","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/direct-brand-vs-broker-deals","https://vacationdeals.to/blog/how-vacation-deal-brokers-work","0","","How Brokers Work","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/staypromo-review","https://vacationdeals.to/blog/how-vacation-deal-brokers-work","0","","How Brokers Work","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/5-things-they-dont-tell-you-timeshare-deals","https://vacationdeals.to/blog/best-timeshare-presentation-deals","0","","Best Presentation Deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/spinnaker-resorts-review","https://vacationdeals.to/blog/best-timeshare-presentation-deals","0","","Best Timeshare Presentation Deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","presentation survival guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[15]/a","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","presentation survival guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/ol[3]/li[6]/strong/a","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","Presentation Survival Guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/5-things-they-dont-tell-you-timeshare-deals","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","presentation survival guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[28]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/5-things-they-dont-tell-you-timeshare-deals","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","Presentation Survival Guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-timeshare-presentation-deals","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","how to survive a timeshare presentation","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[24]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-timeshare-presentation-deals","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","How to Survive a Presentation","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/westgate-resorts-vacation-deals-complete-guide","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","surviving the presentation","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[32]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/westgate-resorts-vacation-deals-complete-guide","https://vacationdeals.to/blog/how-to-survive-timeshare-presentation","0","","How to Survive a Timeshare Presentation","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/vacation-deal-red-flags","0","","Vacation Deal Red Flags","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/5-things-they-dont-tell-you-timeshare-deals","https://vacationdeals.to/blog/vacation-deal-red-flags","0","","vacation deal red flags","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[29]/a","Content","HTML"
"Hyperlink","https://vacationdeals.to/5-things-they-dont-tell-you-timeshare-deals","https://vacationdeals.to/blog/vacation-deal-red-flags","0","","Vacation Deal Red Flags","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/how-vacation-deal-brokers-work","https://vacationdeals.to/blog/vacation-deal-red-flags","0","","red flags","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[27]/a[5]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-deal-red-flags","https://vacationdeals.to/blog/holiday-inn-club-vacations-deals","0","","HICV","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[23]/a[6]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-village-resorts-49-deals","https://vacationdeals.to/blog/holiday-inn-club-vacations-deals","0","","Holiday Inn Club Vacations","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[16]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-deal-red-flags","https://vacationdeals.to/blog/5-things-they-dont-tell-you-timeshare-deals","0","","Things They Don't Tell You","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-deal-red-flags","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[23]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[20]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate Review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[6]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-timeshare-presentation-deals","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","full Westgate review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[6]/a","Content","HTML"
"Hyperlink","https://vacationdeals.to/which-timeshare-brand-best-deals","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate Review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deal-brands-ranked","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[25]/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deal-brands-ranked","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate Review (#3)","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/club-wyndham-vacation-deals","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[23]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/bookvip-review","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[13]/a","Content","HTML"
"Hyperlink","https://vacationdeals.to/marriott-vacation-club-deals","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[27]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/hilton-grand-vacations-deals-worth-it","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[26]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/westgate-vs-hilton-grand-vacations","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[18]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/westgate-vs-hilton-grand-vacations","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate Resorts Full Review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/bluegreen-vacations-deals","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate Deals Comparison","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-village-resorts-49-deals","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[16]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-village-resorts-49-deals","https://vacationdeals.to/blog/westgate-resorts-vacation-deals-complete-guide","0","","Westgate Deals Comparison","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-solo-travelers","https://vacationdeals.to/blog/best-vacation-deals-girls-weekend-getaways","0","","girls' trip","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[15]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-solo-travelers","https://vacationdeals.to/blog/best-vacation-deals-girls-weekend-getaways","0","","Girls' weekend getaway deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-guys-trips","https://vacationdeals.to/blog/best-vacation-deals-girls-weekend-getaways","0","","Girls' weekend deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-long-weekend-vacation-deals","https://vacationdeals.to/blog/best-vacation-deals-girls-weekend-getaways","0","","girls' trip guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[25]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-long-weekend-vacation-deals","https://vacationdeals.to/blog/best-vacation-deals-girls-weekend-getaways","0","","Girls' weekend ideas","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-birthday-celebrations","https://vacationdeals.to/blog/best-vacation-deals-girls-weekend-getaways","0","","Girls' weekend getaways","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-solo-travelers","https://vacationdeals.to/blog/best-vacation-deals-guys-trips","0","","guys' trip","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[15]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-solo-travelers","https://vacationdeals.to/blog/best-vacation-deals-guys-trips","0","","Guys' trip deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-long-weekend-vacation-deals","https://vacationdeals.to/blog/best-vacation-deals-guys-trips","0","","guys' trip guide","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[25]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-long-weekend-vacation-deals","https://vacationdeals.to/blog/best-vacation-deals-guys-trips","0","","Guys' trip ideas","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-vacation-deals-girls-weekend-getaways","https://vacationdeals.to/blog/best-vacation-deals-guys-trips","0","","Guys' trip deals","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/bookvip-vs-getawaydealz","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP Full Review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[3]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-deal-red-flags","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[24]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/vacation-deal-red-flags","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP Review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[9]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[20]/a[4]","Content","HTML"
"Hyperlink","https://vacationdeals.to/ultimate-guide-timeshare-vacation-deals-2026","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP Review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[5]","Content","HTML"
"Hyperlink","https://vacationdeals.to/best-timeshare-presentation-deals","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[10]/a","Content","HTML"
"Hyperlink","https://vacationdeals.to/how-vacation-deal-brokers-work","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[1]/a[1]","Content","HTML"
"Hyperlink","https://vacationdeals.to/how-vacation-deal-brokers-work","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/article/div/p[27]/a[2]","Content","HTML"
"Hyperlink","https://vacationdeals.to/how-vacation-deal-brokers-work","https://vacationdeals.to/blog/bookvip-review","0","","BookVIP Review","308","Permanent Redirect","true","","","Root-Relative","//body/main/div/section[3]/div/a[1]","Content","HTML"
